,n_octaves,descriptor_channels,descriptor_size,threshold,n_octave_layers,kp_descriptor,mapk1,mapk5
0,8,3,0,0.0005,8,akaze,0.9487179487179487,0.9487179487179487
1,8,3,0,0.0001,8,akaze,0.9743589743589743,0.9743589743589743
